# ORT reference, 276 tensors matching 'nonlin_attention'
# tokens=[[28, 120, 18, 74, 26, 32]] prompt=[[120, 54, 122, 24, 3, 24]] frames=57 speed=1.0
# op                 shape                       min          max         mean  name
  Mul                []                  9.41125e-05  9.41125e-05  9.41125e-05  /text_encoder/0/layers.0/nonlin_attention/in_proj/MatMul_quant_scales_mul:0
  MatMulInteger      [13, 1, 432]             -82731       115943      449.433  /text_encoder/0/layers.0/nonlin_attention/in_proj/MatMul_output_0_output_quantized
  Cast               [13, 1, 432]             -82731       115943      449.433  /text_encoder/0/layers.0/nonlin_attention/in_proj/MatMul_output_0_output_quantized_cast_output
  Mul                [13, 1, 432]           -7.78602      10.9117    0.0422973  /text_encoder/0/layers.0/nonlin_attention/in_proj/MatMul_output_0
  Add                [13, 1, 432]            -7.8369      10.2503    0.0380206  /text_encoder/0/layers.0/nonlin_attention/in_proj/Add_output_0
  Shape              [3]                           1          432      148.667  /text_encoder/0/layers.0/nonlin_attention/Shape_output_0
  Shape              [3]                           1          432      148.667  /text_encoder/0/layers.0/nonlin_attention/Shape_1_output_0
  Shape              [3]                           1          432      148.667  /text_encoder/0/layers.0/nonlin_attention/Shape_2_output_0
  Gather             []                           13           13           13  /text_encoder/0/layers.0/nonlin_attention/Gather_output_0
  Gather             []                            1            1            1  /text_encoder/0/layers.0/nonlin_attention/Gather_1_output_0
  Gather             [1]                         432          432          432  /text_encoder/0/layers.0/nonlin_attention/Gather_2_output_0
  Unsqueeze          [1]                          13           13           13  /text_encoder/0/layers.0/nonlin_attention/Unsqueeze_1_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.0/nonlin_attention/Unsqueeze_2_output_0
  Add                [1]                         434          434          434  /text_encoder/0/layers.0/nonlin_attention/Add_output_0
  Concat             [3]                           1          144      52.6667  /text_encoder/0/layers.0/nonlin_attention/Concat_output_0
  Div                [1]                         144          144          144  /text_encoder/0/layers.0/nonlin_attention/Div_output_0
  Mul                [1]                         144          144          144  /text_encoder/0/layers.0/nonlin_attention/Mul_output_0
  Mul                [1]                         288          288          288  /text_encoder/0/layers.0/nonlin_attention/Mul_1_output_0
  Mul                [1]                         432          432          432  /text_encoder/0/layers.0/nonlin_attention/Mul_2_output_0
  Slice              [13, 1, 144]           -6.06345      6.67806   -0.0205148  /text_encoder/0/layers.0/nonlin_attention/Slice_output_0
  Slice              [13, 1, 144]            -7.8369      8.12745    0.0450899  /text_encoder/0/layers.0/nonlin_attention/Slice_1_output_0
  Slice              [13, 1, 144]           -7.64986      10.2503    0.0894867  /text_encoder/0/layers.0/nonlin_attention/Slice_2_output_0
  Tanh               [13, 1, 144]          -0.999989     0.999997   -0.0056428  /text_encoder/0/layers.0/nonlin_attention/tanh/Tanh_output_0
  Unsqueeze          [13, 1, 144, 1]       -0.999989     0.999997   -0.0056428  /text_encoder/0/layers.0/nonlin_attention/Unsqueeze_output_0
  Reshape            [13, 1, 144]          -0.999989     0.999997   -0.0056428  /text_encoder/0/layers.0/nonlin_attention/Reshape_output_0
  Mul                [13, 1, 144]           -7.87838      7.33589   -0.0678719  /text_encoder/0/layers.0/nonlin_attention/Mul_3_output_0
  Shape              [3]                           1          144      52.6667  /text_encoder/0/layers.0/nonlin_attention/Shape_3_output_0
  Shape              [3]                           1          144      52.6667  /text_encoder/0/layers.0/nonlin_attention/Shape_4_output_0
  Gather             []                           13           13           13  /text_encoder/0/layers.0/nonlin_attention/Gather_3_output_0
  Gather             []                            1            1            1  /text_encoder/0/layers.0/nonlin_attention/Gather_4_output_0
  Unsqueeze          [1]                          13           13           13  /text_encoder/0/layers.0/nonlin_attention/Unsqueeze_3_output_0
  Unsqueeze          [1]                          13           13           13  /text_encoder/0/layers.0/nonlin_attention/Unsqueeze_6_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.0/nonlin_attention/Unsqueeze_4_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.0/nonlin_attention/Unsqueeze_7_output_0
  Concat             [3]                          -1           13      4.33333  /text_encoder/0/layers.0/nonlin_attention/Concat_2_output_0
  Shape              [4]                           1           13            7  /text_encoder/0/layers.0/nonlin_attention/Shape_5_output_0
  Gather             []                            1            1            1  /text_encoder/0/layers.0/nonlin_attention/Gather_5_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.0/nonlin_attention/Unsqueeze_5_output_0
  Concat             [4]                          -1           13          3.5  /text_encoder/0/layers.0/nonlin_attention/Concat_1_output_0
  Reshape            [13, 1, 1, 144]        -7.87838      7.33589   -0.0678719  /text_encoder/0/layers.0/nonlin_attention/Reshape_1_output_0
  Transpose          [1, 1, 13, 144]        -7.87838      7.33589   -0.0678719  /text_encoder/0/layers.0/nonlin_attention/Transpose_output_0
  MatMul             [1, 1, 13, 144]        -4.24763      3.43271    -0.114034  /text_encoder/0/layers.0/nonlin_attention/MatMul_output_0
  Transpose          [13, 1, 1, 144]        -4.24763      3.43271    -0.114034  /text_encoder/0/layers.0/nonlin_attention/Transpose_1_output_0
  Reshape            [13, 1, 144]           -4.24763      3.43271    -0.114034  /text_encoder/0/layers.0/nonlin_attention/Reshape_2_output_0
  Mul                [13, 1, 144]           -20.8894      16.5694  -0.00300013  /text_encoder/0/layers.0/nonlin_attention/Mul_4_output_0
  DynamicQuantizeLinear [13, 1, 144]                  0          255      141.989  /text_encoder/0/layers.0/nonlin_attention/Mul_4_output_0_quantized
  DynamicQuantizeLinear []                     0.146897     0.146897     0.146897  /text_encoder/0/layers.0/nonlin_attention/Mul_4_output_0_scale
  DynamicQuantizeLinear []                          142          142          142  /text_encoder/0/layers.0/nonlin_attention/Mul_4_output_0_zero_point
  Mul                []                  5.05978e-05  5.05978e-05  5.05978e-05  /text_encoder/0/layers.0/nonlin_attention/out_proj/MatMul_quant_scales_mul:0
  MatMulInteger      [13, 1, 192]             -31841        28254      17.9671  /text_encoder/0/layers.0/nonlin_attention/out_proj/MatMul_output_0_output_quantized
  Cast               [13, 1, 192]             -31841        28254      17.9671  /text_encoder/0/layers.0/nonlin_attention/out_proj/MatMul_output_0_output_quantized_cast_output
  Mul                [13, 1, 192]           -1.61108      1.42959  0.000909097  /text_encoder/0/layers.0/nonlin_attention/out_proj/MatMul_output_0
  Add                [13, 1, 192]           -1.61009       1.4177  0.000687638  /text_encoder/0/layers.0/nonlin_attention/out_proj/Add_output_0
  Mul                []                   9.1665e-05   9.1665e-05   9.1665e-05  /text_encoder/0/layers.1/nonlin_attention/in_proj/MatMul_quant_scales_mul:0
  MatMulInteger      [13, 1, 432]             -69998        72508     -128.399  /text_encoder/0/layers.1/nonlin_attention/in_proj/MatMul_output_0_output_quantized
  Cast               [13, 1, 432]             -69998        72508     -128.399  /text_encoder/0/layers.1/nonlin_attention/in_proj/MatMul_output_0_output_quantized_cast_output
  Mul                [13, 1, 432]           -6.41637      6.64645   -0.0117697  /text_encoder/0/layers.1/nonlin_attention/in_proj/MatMul_output_0
  Add                [13, 1, 432]            -6.3375      6.98931   -0.0171001  /text_encoder/0/layers.1/nonlin_attention/in_proj/Add_output_0
  Shape              [3]                           1          432      148.667  /text_encoder/0/layers.1/nonlin_attention/Shape_output_0
  Shape              [3]                           1          432      148.667  /text_encoder/0/layers.1/nonlin_attention/Shape_1_output_0
  Shape              [3]                           1          432      148.667  /text_encoder/0/layers.1/nonlin_attention/Shape_2_output_0
  Gather             []                           13           13           13  /text_encoder/0/layers.1/nonlin_attention/Gather_output_0
  Gather             []                            1            1            1  /text_encoder/0/layers.1/nonlin_attention/Gather_1_output_0
